Id,医生职称,医生科室,医生所在城市,医生有无简介,医生在线活动量,医生个人网站总访问量,总文章数,总患者数,患者投票数,感谢信数,心意礼物数,医生欢迎词,Mark(不要使用该列),欢迎词字数,sentiment,positive_prob,医生临床职称,医生教学科研职称
6256,副主任医师 ,医学影像科,抚顺,1,0,"2,059",0,0,0,0,0,欢迎您来到我的网站，很希望能够帮助到您，祝您健康！,187493,25,2,0.982472,副主任医师,无
6257,副主任医师 副教授 ,肾脏内科,郑州,1,0,"3,668",0,1,6,0,0,无,187508,0,0,0.0315851,副主任医师,副教授
6258,副主任医师 ,妇产科,天津,0,0,"20,986",0,1,8,0,0,无,187515,0,0,0.0315851,副主任医师,无
6259,主治医师 讲师 ,耳鼻咽喉头颈外科,南昌,1,390,"26,691",6,60,0,0,0,二附院耳鼻喉门诊安排各位患友，再次向大家重申我科门诊安排，以便患者合理安排自己的时间。嗓音专科门诊：周日上午（普通号）门诊4楼2号房间眩晕专科门诊：周六上午（普通号）门诊4楼3号房间电子喉镜、鼻内镜检查：门诊4楼5号房间，周一全天，周二下午，周三至周...五全天。听力检查时间：门诊4楼8号房间，周一至周五整天，周六上午。脱敏治疗：门诊4楼1号房间；周一至周日，均可。展开>,187534,187,2,0.949843,主治医师,讲师
6260,副主任医师 ,骨科,邢台,1,0,"13,242",0,0,3,0,0,无,187546,0,0,0.0315851,副主任医师,无
6261,主治医师 ,耳鼻喉科,北京,1,0,"35,289",0,42,35,6,0,无,187556,0,0,0.0315851,主治医师,无
6262,主任医师 教授 ,口腔颅颌面-头颈外科,广州,1,15,"13,211",1,2,1,0,1,无,187561,0,0,0.0315851,主任医师,教授
6263,主任医师 教授 ,消化内科,威海,1,0,"11,253",0,0,4,0,0,无,187566,0,0,0.0315851,主任医师,教授
6264,副主任医师 ,小儿神经内科,温州,1,9255,"547,326",1,688,15,3,21,无,187598,0,0,0.0315851,副主任医师,无
6265,主治医师 ,妇产科,北京,0,0,"2,646",0,0,3,0,0,无,187611,0,0,0.0315851,主治医师,无
6266,主任医师 教授 ,关节外科,绵阳,1,0,932,0,0,0,0,0,无,187615,0,0,0.0315851,主任医师,教授
6267,副主任医师 副教授 ,放疗科,西安,1,0,"24,354",4,0,4,0,0,无,187621,0,0,0.0315851,副主任医师,副教授
6268,副主任医师 ,血液内科,临沂,1,0,"10,068",0,0,1,0,0,无,187644,0,0,0.0315851,副主任医师,无
6269,副主任医师 ,内科,台州,0,0,222,0,0,0,0,0,无,187650,0,0,0.0315851,副主任医师,无
6270,主任医师 教授 ,烧伤整形科,南京,1,8450,"644,803",7,760,5,0,22,无,187656,0,0,0.0315851,主任医师,教授
6271,副主任医师 ,创伤骨科,深圳,0,0,"1,511",0,0,0,0,0,无,187719,0,0,0.0315851,副主任医师,无
6272,住院医师 ,针灸康复科,合肥,0,0,"3,291",0,0,0,0,0,无,187741,0,0,0.0315851,住院医师,无
6273,副主任医师 ,中医科,达州,1,0,"7,579",0,0,1,0,0,祝福所有人平安、健康、幸福!,187742,14,2,0.999977,副主任医师,无
6274,主治医师 ,儿科,郑州,1,775,"68,850",0,40,4,2,0,无,187745,0,0,0.0315851,主治医师,无
6275,主任医师 ,骨科,泰安,1,0,"7,135",0,1,1,0,0,无,187793,0,0,0.0315851,主任医师,无
6276,副主任医师 ,老年病科,合肥,1,335,"6,305",0,48,0,0,0,无,187852,0,0,0.0315851,副主任医师,无
6277,主任医师 教授 ,妇产科,北京,1,0,"1,004",0,0,9,0,0,无,187891,0,0,0.0315851,主任医师,教授
6278,副主任医师 副教授 ,骨关节科,广州,1,30,"29,517",2,13,1,0,0,希望我的回答对您有所帮助！希望我的回答对您有所帮助！,187911,26,0,0.0121193,副主任医师,副教授
6279,主治医师 ,神经内科,邢台,1,0,"11,230",0,0,0,0,0,无,187946,0,0,0.0315851,主治医师,无
6280,住院医师 ,妇科,邢台,0,0,330,0,0,0,0,0,无,187947,0,0,0.0315851,住院医师,无
6281,主任医师 ,结核科,广州,1,2015,"79,704",0,262,9,2,0,无,187965,0,0,0.0315851,主任医师,无
6282,主治医师 ,风湿科,洛阳,1,0,"2,314",0,0,1,0,0,无,187991,0,0,0.0315851,主治医师,无
6283,主治医师 ,普外科,宜昌,1,520,"75,123",15,71,0,0,0,真诚为您服务我希望用我的专业知识更好地为病人服务。我衷心地希望自己不要伤害到病人和他的家庭。,187999,46,1,0.481671,主治医师,无
6284,副主任医师 副教授 ,肾病内科,宜昌,1,200,"7,537",0,0,2,0,0,无,188039,0,0,0.0315851,副主任医师,副教授
6285,主任医师 ,中医内科,绵阳,1,0,"3,960",0,0,5,1,0,无,188046,0,0,0.0315851,主任医师,无
6286,住院医师 ,呼吸肾内科,鹤岗,0,0,"5,977",0,0,1,0,0,无,188146,0,0,0.0315851,住院医师,无
6287,主治医师 ,内分泌科,连云港,0,572,"22,959",0,27,0,0,0,无,188206,0,0,0.0315851,主治医师,无
6288,副主任医师 教授 ,风湿骨病科,郑州,1,0,"34,662",0,5,4,0,0,无,188213,0,0,0.0315851,副主任医师,教授
6289,副主任医师 副教授 ,整形美容科,重庆,1,230,"21,075",1,1,2,0,2,无,188214,0,0,0.0315851,副主任医师,副教授
6290,主任医师 教授 ,口腔正畸科,北京,1,23502,"1,722,567",13,1749,27,3,98,无,188282,0,0,0.0315851,主任医师,教授
6291,主治医师 讲师 ,口腔科,咸阳,1,0,"14,671",0,0,1,0,1,无,188291,0,0,0.0315851,主治医师,讲师
6292,主治医师 ,病理学,东营,0,210,"14,471",1,0,2,0,1,病理为医之本愿越来越多的人了解病理的重要性。,188291,22,2,0.963277,主治医师,无
6293,主任医师 教授 ,神经内科,上海,1,0,"7,960",0,1,3,1,1,无,188313,0,0,0.0315851,主任医师,教授
6294,主治医师 ,麻醉科,抚顺,0,0,725,0,0,0,0,0,无,188314,0,0,0.0315851,主治医师,无
6295,主任医师 教授 ,消化内科,扬州,1,300,"31,271",0,22,3,0,1,无,188319,0,0,0.0315851,主任医师,教授
6296,主治医师 ,肾病科,安阳,1,245,"11,660",1,12,1,0,0,无,188366,0,0,0.0315851,主治医师,无
6297,主任医师 ,中西医结合外科,天津,0,260,"16,916",2,7,1,0,1,无,188427,0,0,0.0315851,主任医师,无
6298,主任医师 教授 ,颌面外科,西安,1,0,"13,141",0,1,2,0,1,无,188473,0,0,0.0315851,主任医师,教授
6299,副主任医师 ,营养科,潍坊,1,200,"17,351",2,0,0,0,1,无,188500,0,0,0.0315851,副主任医师,无
6300,副主任医师 ,血液科,太原,1,0,"7,193",0,1,1,0,1,无,188535,0,0,0.0315851,副主任医师,无
6301,住院医师 助教 ,ICU,常州,1,210,"8,344",0,2,1,0,1,无,188541,0,0,0.0315851,住院医师,助教
6302,主治医师 ,骨科,成都,1,200,"20,896",10,30,0,1,1,欢迎大家咨询解放军第452医院骨科的技术特色脊柱外科在治疗脊柱骨折脱位、侧弯畸形、腰椎管狭窄失稳、脊柱肿瘤等高难度手术方面积累了丰富临床经验，特别是侧路和后路椎间盘镜下腰椎间盘髓核摘除术完成近万例，疗效显著。关节外科在原先开展的髋膝...关节置换基础上对严重屈曲畸形、关节术后翻修、先髋及高龄患者关节置换的围手术期处理等问题做了初步探索和经验总结，在肩肘关节置换和保肢肿瘤关节置换手术方面也积累了一定经验。创伤骨科接受和引进了新技术和理念,188547,219,2,0.994791,主治医师,无
6303,主治医师 ,结核内科,菏泽,1,0,"1,465",0,0,0,0,0,无,188548,0,0,0.0315851,主治医师,无
6304,主治医师 ,激光整形美容科,湘西,0,0,"13,544",0,1,0,0,0,无,188566,0,0,0.0315851,主治医师,无
6305,主治医师 ,中医科,朝阳,1,0,"7,647",0,1,0,0,0,无,188594,0,0,0.0315851,主治医师,无
6306,主任医师 ,血液内科,新乡,0,0,"3,074",0,0,0,0,0,无,188745,0,0,0.0315851,主任医师,无
6307,主任医师 教授 ,泌尿外科,武汉,1,200,"5,878",0,0,3,2,1,无,188827,0,0,0.0315851,主任医师,教授
6308,副主任医师 ,儿科,石嘴山,0,260,"119,160",8,21,0,0,0,无,188829,0,0,0.0315851,副主任医师,无
6309,主任医师 ,普通外科,北京,1,335,"29,519",0,20,4,1,0,无,188858,0,0,0.0315851,主任医师,无
6310,副主任医师 副教授 ,消化内科,郑州,1,5904,"1,530,252",67,866,34,9,9,"为患者着想，凭良心看病！作为一个出生在革命老区，吃腌菜长大的农家子弟，深知患者看病的艰辛和无奈，希望能给他们提供哪怕一点点的帮助！Asapoorfarmer’schlidborninginoldrevolutionarybaseareaan...dgrowingupbyeatingsauerkraut,Ideeplyunderstandthehelplessnessandhardshipofthepatien",188947,206,2,0.840665,副主任医师,副教授
6311,副主任医师 副教授 ,妇科,烟台,1,270,"67,983",0,10,1,0,1,欢迎光临本站！欢迎到本站健康咨询,188963,16,2,0.967362,副主任医师,副教授
6312,副主任医师 副教授 ,急救科,滨州,1,0,"8,675",0,0,1,0,0,无,188975,0,0,0.0315851,副主任医师,副教授
6313,主治医师 ,新生儿科,广州,1,95,"17,172",0,18,1,0,0,无,189044,0,0,0.0315851,主治医师,无
6314,主任医师 教授 ,神经外科,广州,1,0,"20,314",0,1,4,0,0,无,189199,0,0,0.0315851,主任医师,教授
6315,住院医师 ,介入科,广州,1,405,"28,013",0,28,1,0,1,欢迎您的到访，我将竭诚为您服务健康所系，生命相托。作为一个医者，我将秉承救死扶伤，待患如友的精神，尽我所能为您服务。,189236,58,0,0.426911,住院医师,无
6316,副主任医师 副教授 ,整形外科,西安,1,26847,"1,163,652",25,1897,64,27,59,你我携手，美丽长久！愿每一位朋友都能拥有自信、青春和靓丽的人生。,189275,32,2,0.999956,副主任医师,副教授
6317,主任医师 ,肿瘤科,北京,1,290,"33,567",21,11,0,0,1,欢迎咨询由于网络信息沟通的局限性，可能部分回复会有比较大的出入，如需进一步详细咨询可预约来院面对面咨询。招募非小细胞肺癌、晚期乳腺癌参加喜滴克Ⅳ期临床试验，详情见下面文章部分生前预嘱注册中心选择与尊严网址：http://www.xzy...zy.com/index.html展开>>收起<<,189330,145,2,0.983767,主任医师,无
6318,副主任医师 ,手外科,北京,1,18005,"813,317",0,2222,48,23,38,无,189342,0,0,0.0315851,副主任医师,无
6319,主治医师 讲师 ,妇科,北京,1,200,"9,120",0,0,0,0,0,无,189402,0,0,0.0315851,主治医师,讲师
6320,住院医师 ,中医儿科,安阳,0,0,"2,361",0,0,0,0,0,无,189450,0,0,0.0315851,住院医师,无
6321,副主任医师 ,内分泌科,贵阳,0,0,371,0,0,0,0,0,无,189462,0,0,0.0315851,副主任医师,无
6322,主治医师 ,骨科,杭州,1,155,"3,196",0,22,0,0,0,无,189474,0,0,0.0315851,主治医师,无
6323,主治医师 ,核医学科,杭州,1,15294,"736,463",23,819,19,9,90,关注甲状腺，关爱生命近段时间在核医学科二楼病房工作，若病友来就诊，可直接到核医学科二楼病房，谢谢！,189482,49,2,0.96219,主治医师,无
6324,副主任医师 ,耳鼻喉科,清远,1,7152,"252,957",6,402,0,0,9,欢迎提与专业相关的问题欢迎提与专业相关的问题，希望为患者做微薄的奉献,189485,34,2,0.945594,副主任医师,无
6325,住院医师 ,皮肤科,深圳,1,360,"154,417",10,46,3,0,0,无,189486,0,0,0.0315851,住院医师,无
6326,副主任医师 副教授 ,肛肠外科,哈尔滨,1,215,"13,054",1,1,3,1,0,无,189504,0,0,0.0315851,副主任医师,副教授
6327,主治医师 ,心血管内科,北京,1,50,"35,248",0,13,15,4,1,无,189514,0,0,0.0315851,主治医师,无
6328,主治医师 ,骨科,芜湖,0,0,159,0,0,0,0,0,无,189523,0,0,0.0315851,主治医师,无
6329,主治医师 讲师 ,全军器官移植研究所,北京,1,31849,"1,352,876",12,1553,34,22,92,大医精诚凡大医治病，必当安神定志，无欲无求，先发大慈恻隐之心，誓愿普救含灵之苦。若有疾厄来求救者，不得问其贵贱贫富，长幼妍蚩，怨亲善友，华夷愚智，普同一等，皆如至亲之想，亦不得瞻前顾后，自虑吉凶，护惜身命。见彼苦恼，若己有之，深心凄怆，勿避险巇、昼...夜、寒暑、饥渴、疲劳，一心赴救，无作功夫形迹之心。如此可为苍生大医，反此则是含灵巨贼。展开>>,189526,174,2,0.982461,主治医师,讲师
6330,副主任医师 讲师 ,儿童保健科,南京,1,310,"31,189",0,47,2,0,0,呵护宝宝的健康每位宝宝都能健康茁壮的成长，是我最欣慰的事情。,189535,30,2,0.999933,副主任医师,讲师
6331,副主任医师 ,消化内科,抚顺,0,10,960,0,2,0,0,0,无,189535,0,0,0.0315851,副主任医师,无
6332,主治医师 讲师 ,颌面外科,成都,1,55,"5,546",0,10,0,0,0,无,189546,0,0,0.0315851,主治医师,讲师
6333,主任医师 ,肾内科,上海,1,55,"24,967",0,9,1,0,1,无,189556,0,0,0.0315851,主任医师,无
6334,主任医师 教授 ,妇产科,长春,1,200,"6,233",0,0,0,0,0,"竭诚为全省姐妹服好务大家好！我是一名从事妇产科临床30余年、超声诊断15年的主任医师。在妇产科超声诊断方面经验丰富，多年来得到了广大姐妹病友的信任和尊重，目前我周一到周五全天在妇产科彩超室出诊，欢迎大家前来体检，诊察疾病，做腹中宝宝的系统彩超检查（3D4D...）,疑难疾病的超声检查。我是省内专家号31元，欢迎大家选择我！展开>>收起<<",189578,170,2,0.99979,主任医师,教授
6335,主治医师 ,普外科,西安,1,155,"8,558",1,24,2,0,0,欢迎光临魏强好大夫在线业精于勤，行成于思，生命科学严谨复杂，谨记勤思慎行之师训，专心致志。病患之疾苦感同身受，唯有尽心竭力，方不辱医者一衫胜雪白衣。医路坎坷，成事者誉也担当，毁也端庄。大医精诚，大学至善。藏一怀衷肠，尽一己之力。...,189698,117,2,0.647518,主治医师,无
6336,副主任医师 ,肝病科,广元,1,265,"15,235",1,4,1,0,0,无,189701,0,0,0.0315851,副主任医师,无
6337,主任医师 教授 ,脊柱外科,郑州,1,200,"13,824",0,2,9,0,0,无,189715,0,0,0.0315851,主任医师,教授
6338,副主任医师 副教授 ,肾病科,荆州,1,235,"21,112",0,5,1,0,1,无,189717,0,0,0.0315851,副主任医师,副教授
6339,住院医师 ,心胸外科,福州,1,0,"9,427",0,0,2,0,0,医学生誓言健康所系、性命相托。当我步入神圣医学学府的时刻，谨庄严宣誓：我志愿献身医学，热爱祖国，忠于人民，恪守医德，尊师守纪，刻苦钻研，孜孜不倦，精益求精，全面发展。我决心竭尽全力除人类之病痛，助健康之完美，维护医术的圣洁和荣誉。救死扶伤，不辞艰辛，...执着追求，为祖国医药卫生事业的发展和人类身心健康奋斗终生！展开>>收起<<,189751,165,2,0.99981,住院医师,无
6340,副主任医师 ,内分泌科,枣庄,0,0,97,0,0,0,0,0,无,189783,0,0,0.0315851,副主任医师,无
6341,主任医师 教授 ,脑病科,长春,1,25,"15,844",0,5,1,0,0,无,189797,0,0,0.0315851,主任医师,教授
6342,主任医师 ,病理科,开封,1,220,"12,342",2,0,0,0,0,欢迎您了解和认识病理诊断“病理为医学之本。”“任何有效的治疗来源于正确诊断，所有诊断中首推病理诊断准确率最高。”病理诊断是以形态学观察为主的科学，对极小的形态差异，要靠经验结合临床及直觉作出判断，因此病理诊断是技术、经验和艺术的高度统一。病理诊断是疾病诊断的...“金标准”，是对疾病或肿瘤进行个体化治疗的基础。我愿努力实现疾病和肿瘤诊断的科学性与高尚医德的完美统一，我愿与患者、患者家人、患者朋友和全社会在战胜疾病的道路上共同努力！科室电话：0378-5661,189797,231,2,0.998984,主任医师,无
6343,主治医师 ,肝胆外科,菏泽,1,10,456,0,1,0,0,0,无,189806,0,0,0.0315851,主治医师,无
6344,主任医师 副教授 ,普外科,济南,1,560,"25,800",0,19,2,0,3,为患者服务作为临床医师，为患者治病是我应尽的义务。愿意为广大患者提供帮助。,189902,37,2,0.753665,主任医师,副教授
6345,副主任医师 ,康复医学科,广州,1,200,"8,355",0,0,1,0,1,无,189929,0,0,0.0315851,副主任医师,无
6346,住院医师 ,普外科,兰州,1,200,"7,647",0,0,3,0,0,无,189968,0,0,0.0315851,住院医师,无
6347,住院医师 ,骨科,成都,1,25,"2,054",9,4,0,0,0,骨科专业欢迎大家多来咨询。对于四肢创伤，关节损伤，脊柱创伤，骨感染方面有丰富经验，欢迎大家前来咨询。,189983,50,2,0.998449,住院医师,无
6348,副主任医师 ,腹外科,长沙,1,0,"25,401",0,5,1,0,0,无,190000,0,0,0.0315851,副主任医师,无
6349,主任医师 教授 ,耳鼻咽喉科,济南,1,440,"22,353",0,16,5,0,0,无,190017,0,0,0.0315851,主任医师,教授
6350,住院医师 ,传染病科,福州,0,0,"6,756",0,0,0,0,1,无,190068,0,0,0.0315851,住院医师,无
6351,主任医师 副教授 ,血液内科,深圳,1,6165,"347,719",0,861,1,0,4,欢迎浏览深圳市第六人民医院血液科刘泽林主任医师的个...网站刚开通，工作也很忙，作为有着近30年工龄的血液科医生，愿为血液病患者提供真诚帮助，特别是在白血病、淋巴瘤、骨髓瘤、再生障碍性贫血、MDS、骨髓增殖性肿瘤（真性红细胞增多症、原发性骨髓纤维化、原发性血小板增多症）及缺铁性贫血、巨幼细胞性贫...血诊治方面帮得到患者。展开>>收起<<,190069,170,2,0.996701,主任医师,副教授
6352,副主任医师 副教授 ,消化内科,武汉,0,0,683,0,0,0,0,0,无,190070,0,0,0.0315851,副主任医师,副教授
6353,副主任医师 讲师 ,普通外科,北京,1,45,"7,860",1,5,2,1,0,尊敬的患者，我不能治愈所有疾病，但有能力为您提供最合理的建议，我愿意和你共度难关。,190091,41,2,0.970271,副主任医师,讲师
6354,主治医师 ,眼科,衡水,1,290,"17,042",0,14,0,0,0,无,190105,0,0,0.0315851,主治医师,无
6355,主任医师 ,胸外科,上海,1,0,"15,461",0,1,0,0,0,无,190109,0,0,0.0315851,主任医师,无
6356,副主任医师 副教授 ,儿科肾病专科,武汉,1,230,"13,468",0,8,9,3,1,无,190218,0,0,0.0315851,副主任医师,副教授
6357,住院医师 ,骨科康复中心,天津,0,0,"1,681",0,0,0,0,0,无,190221,0,0,0.0315851,住院医师,无
6358,主任医师 教授 ,妇瘤科,南宁,1,0,523,0,0,9,3,0,无,190231,0,0,0.0315851,主任医师,教授
6359,主任医师 教授 ,脉管炎科(皮肤科),太原,1,200,"18,035",1,1,10,0,1,无,190274,0,0,0.0315851,主任医师,教授
6360,住院医师 ,营养科,北京,0,0,"1,689",0,0,0,0,0,无,190277,0,0,0.0315851,住院医师,无
6361,副主任医师 ,消化内科,揭阳,1,220,"23,696",0,3,5,1,0,一切为了您的健康,190318,8,2,0.947687,副主任医师,无
6362,主任医师 教授 ,神经内科,连云港,1,40,"3,006",3,6,1,0,0,学以致用医疗工作神圣、崇高，我有幸选择了这一职业。26年来，我一直战斗在神经内科临床第一线，始终把能解决患者的疾苦当作自己职责和最大的幸福。临床工作经历告诉我，作为一名优秀的医务工作者，医德高尚是首要的，是为患者服务的动力源泉；...医术高明是基础，是为患者服务的本领。多年来我内修医德，外研医术。帕金森病、脑血管病是神经内科中影响中老年健康的主要疾病，本人长期从事该类病的临床及研究，积累了较丰富的经验。学有所用，希望我的努力能,190319,215,2,0.999425,主任医师,教授
6363,主治医师 ,心胸外科,济宁,0,70,"9,195",2,11,0,0,0,无,190326,0,0,0.0315851,主治医师,无
6364,主任医师 副教授 ,康复医学科,吉林,1,0,"28,134",1,3,8,0,0,无,190359,0,0,0.0315851,主任医师,副教授
6365,主治医师 ,耳鼻喉科,淄博,1,2151,"195,244",12,108,1,0,0,大家如果想找我看病的，可以直接到淄博中心医院新病房楼24楼耳鼻喉病房。只要没手术，我会很高兴网上的朋友找我的。,190443,55,1,0.534054,主治医师,无
6366,主任医师 教授 ,消化内科,咸阳,1,0,520,0,0,1,0,0,无,190528,0,0,0.0315851,主任医师,教授
6367,主治医师 讲师 ,普通外科,烟台,1,190,"14,980",0,4,0,0,0,无,190535,0,0,0.0315851,主治医师,讲师
6368,主治医师 ,普通外科,泸州,1,0,"8,083",0,0,2,0,0,无,190551,0,0,0.0315851,主治医师,无
6369,副主任医师 ,泌尿外科,郑州,1,2140,"110,321",5,191,14,2,9,无,190607,0,0,0.0315851,副主任医师,无
6370,副主任医师 副教授 ,妇产科,大庆,0,115,"17,930",0,16,4,0,0,希望用我的努力为您带来健康、快乐！,190625,17,2,0.999477,副主任医师,副教授
6371,主治医师 ,眼科,北京,1,85,"7,160",5,9,0,1,0,无,190647,0,0,0.0315851,主治医师,无
6372,主治医师 ,小儿科,天津,1,225,"18,330",0,5,0,0,1,欢迎您的到来：身心健康是孩子最宝贵的财富，当前社会应该关心重视这个问题，家长和大夫更是责无旁贷。,190652,48,2,0.961493,主治医师,无
6373,副主任医师 副教授 ,牙体牙髓病科,济南,1,260,"31,733",1,6,2,0,0,欢迎你愿意利用这个空间和广大患者充分交流，建立起相互信任的医患关系。,190706,34,2,0.867723,副主任医师,副教授
6374,副主任医师 ,呼吸科,扬州,0,230,"9,775",0,5,3,0,0,欢迎就诊市三院仁爱，济世,190712,12,2,0.945575,副主任医师,无
6375,主任医师 ,介入科,邯郸,1,530,"76,566",9,50,3,1,1,欢迎光临胡永立医生个人网站您在就医时是否知道应该看哪个科，找哪个医生？可能您对介入治疗还不太了解，没关系，关注下介入治疗可能会给您更大的帮助，因为介入治疗最大的特点就是微创、高效，恢复快，尤其是在肝癌、肺癌及其他恶性肿瘤、血管性疾病方面，甚至在某些疾病的治疗方面介入...已成为首选的治疗方法。对于您的咨询我将尽自己所能给予您最大的帮助。我的办公室电话：0310-2118189，也可以直接联系我们介入病房电话：0310-2118650，护士办公室：0310-2,190861,231,2,0.997436,主任医师,无
6376,主任医师 教授 ,小儿外科,开封,1,10990,"319,453",3,374,5,1,10,开封市儿童医院:开封市儿童医院外科涵盖了小儿普外、心胸外科、新生儿外科、泌尿外科、骨科等专业，现拥有主任医师5名，副主任医师3名的高职称专业队伍，能够开展小儿先天性心脏病（如房、室间隔缺损，动脉导管未闭，法洛式四联征等）复杂性心脏畸形的手术治疗。新生儿外...科开展各类消化道畸形：如先天性食道闭锁、膈疝、十二指肠梗阻、先天性巨结肠、肠闭锁及肛门闭锁等疾病的治疗，治愈率高，大大提高了患儿的生活质量。普外科开展纵膈肿瘤、胆总管囊肿、肝肾肿瘤、畸胎瘤、神经母细胞瘤,190892,231,2,0.989082,主任医师,教授
6377,副主任医师 副教授 ,口腔修复科,上海,1,570,"58,965",2,67,13,2,0,欢迎各位患者朋友咨询问题，我将尽我最大的努力，及时答复各位朋友的提问，希望我的答复能够给您带来帮助，使您满意；也希望各位患者朋友提出不同意见和指导建议，共同维护好和建设好这个交流平台，谢谢~~~~医院地址：上海市延长中路399号联系方...式：021-66313729展开>>收起<<,190933,142,2,0.978427,副主任医师,副教授
6378,主治医师 讲师 ,妇瘤科,昆明,1,310,"21,097",1,16,4,0,2,欢迎广大病友咨询就诊李政，男，博士，讲师，主治医师。2006年获中山大学临床医学学士学位，2011年获中山大学肿瘤学博士学位（硕博连读），同年获广东省医学会妇产科学学术会议优秀论文奖。2011年7月入职云南省肿瘤医院妇瘤科工作至今。2011年7月1日获评昆明医...科大学讲师职称。2013年5月取得主治医师资格。目前主持国际自然科学基金青年基金1项，教育部高等学校博士点基金1项，云南省科技厅应用基础研究面上项目1项，云南省肿瘤医院博士科研启动基金1项，发表S,190942,231,2,0.994102,主治医师,讲师
6379,主任医师 教授 ,针灸科,昆明,1,0,"400,208",3,24,8,0,0,无,190950,0,0,0.0315851,主任医师,教授
6380,主任医师 教授 ,口腔科,烟台,1,10500,"456,450",0,576,0,0,25,"专业领域1.面部整形：先天及后天颌面部畸形的正颌外科治疗和牵引成骨治疗，面型轮廓重塑，瘦脸术，隆下巴。2.鼾症：各种原因导致的打呼噜，利用低温等离子微创手术和正颌外科、牵引成骨治疗。3.肿瘤：口腔颌面部良恶性肿瘤，颌骨囊肿。4.创伤：颌面部创...伤骨折，尤其是陈旧骨折的正颌外科治疗。5.炎症：颌面部牙源性炎症。6.各种复杂牙齿拔除术联系方式：Email:zhongxiuy@sina.com,QQ:125650320电话：022-27112308",191028,225,2,0.9454,主任医师,教授
6381,主治医师 ,肛肠外科,沈阳,0,190,"7,764",0,0,1,1,0,无,191028,0,0,0.0315851,主治医师,无
6382,主任医师 教授 ,神经外科,沈阳,1,535,"127,228",21,53,17,4,4,您将健康与生命交付我手中，我待之如己，感同身受。...我毕业于中国医科大学七年制临床医学专业，长期从事神经外科临床工作，曾于美国留学4年，学习胶质瘤综合治疗（明尼苏达大学神经外科）和复杂颅底手术（美国巴罗神经科学研究所）。目前是中国医科大学附属第一医院神经外科副主任，教授，博士生导师，中华医学...会神经外科学分会青年委员，辽宁省医学会神经外科学分会副主任委员兼秘书长，辽宁省抗癌协会神经肿瘤分会副主任委员，中国胶质瘤专家协作组成员，中国医师协会神经肿瘤专,191040,229,2,0.985992,主任医师,教授
6383,住院医师 ,肛肠科,周口,0,0,727,0,0,0,0,0,无,191094,0,0,0.0315851,住院医师,无
6384,主任医师 ,中医内科,锦州,1,0,"32,439",0,3,0,0,0,无,191101,0,0,0.0315851,主任医师,无
6385,主治医师 ,肾内科,长沙,1,0,385,0,0,1,0,0,无,191157,0,0,0.0315851,主治医师,无
6386,副主任医师 ,胃外科,沈阳,1,5,"20,023",0,2,8,1,1,无,191166,0,0,0.0315851,副主任医师,无
6387,主任医师 教授 ,血管外科,上海,1,4321,"236,702",60,314,12,7,9,医者仁心、治病救人只有把生理上的治疗技能和心理上的抚慰加在一起，才构成“医者仁心、治病救人”这八个字的全部含义。,191197,56,0,0.315253,主任医师,教授
6388,主治医师 讲师 ,骨科,常州,0,215,"11,629",0,1,0,0,0,无,191217,0,0,0.0315851,主治医师,讲师
6389,副主任医师 ,肿瘤内科,济南,0,5,"2,195",0,1,0,0,0,无,191278,0,0,0.0315851,副主任医师,无
6390,主治医师 ,针灸科,北京,1,0,"14,487",0,0,1,0,1,无,191294,0,0,0.0315851,主治医师,无
6391,副主任医师 副教授 ,精神科,柳州,1,200,"9,258",0,0,1,0,0,无,191300,0,0,0.0315851,副主任医师,副教授
6392,主治医师 ,不孕不育,邢台,1,0,"14,519",0,2,0,0,0,无,191307,0,0,0.0315851,主治医师,无
6393,副主任医师 ,麻醉科,石家庄,0,255,"19,228",1,7,0,0,0,很想为您服务希望我能帮您认识麻醉的重要性,191340,20,2,0.99261,副主任医师,无
6394,主治医师 ,肿瘤中心,济南,0,200,"6,328",0,0,0,0,0,无,191341,0,0,0.0315851,主治医师,无
6395,主治医师 讲师 ,胃肠外科,广州,1,200,"9,379",0,1,1,1,0,无,191349,0,0,0.0315851,主治医师,讲师
6396,主任医师 ,肛肠科,上海,1,3065,"345,396",2,367,18,1,2,祝您健康专家门诊时间更改为：上海中医药大学附属龙华医院门诊时间：周六上午龙华医院浦东分院门诊时间：周一上午、周五上午,191379,58,2,0.884863,主任医师,无
6397,主治医师 ,儿科,鹤岗,0,200,"6,731",0,0,0,0,0,无,191392,0,0,0.0315851,主治医师,无
6398,主治医师 讲师 ,肝胆外科,昆明,1,0,"9,345",0,1,0,0,0,无,191415,0,0,0.0315851,主治医师,讲师
6399,主任医师 教授 ,消化内科,西安,1,315,"22,428",0,10,6,0,1,医者仁心希望在这个平台上为更多患者服务！,191424,20,2,0.57053,主任医师,教授
6400,主治医师 ,角膜屈光科,青岛,1,245,"24,151",4,8,0,0,0,希望我的回答能帮到您希望我的回答能帮到您,191522,20,2,0.729261,主治医师,无
6401,副主任医师 ,产科,上海,1,250,"26,056",0,10,2,1,1,无,191553,0,0,0.0315851,副主任医师,无
6402,副主任医师 副教授 ,腔镜外科,温州,1,252,"23,992",4,4,0,0,0,无,191557,0,0,0.0315851,副主任医师,副教授
